"mfcc1_mean","mfcc1_sd","mfcc2_mean","mfcc2_sd","mfcc3_mean","mfcc3_sd","mfcc4_mean","mfcc4_sd","mfcc5_mean","mfcc5_sd","mfcc6_mean","mfcc6_sd","mfcc7_mean","mfcc7_sd","mfcc8_mean","mfcc8_sd","mfcc9_mean","mfcc9_sd","mfcc10_mean","mfcc10_sd","mfcc11_mean","mfcc11_sd","mfcc12_mean","mfcc12_sd","mfcc13_mean","mfcc13_sd","tempo","centroid_mean","centroid_sd","rms_mean","rms_sd","harmonic_rms_mean","percussive_rms_mean","perc_harm_ratio","file","day_night","cluster"
-229.57686,81.11808,108.27503,38.400837,33.894386,18.642445,27.406488,10.692739,12.09225,8.513166,12.4142065,7.363109,-5.211706,7.1079035,0.2210016,7.3212514,-10.104582,7.7405868,0.4769619,7.1033173,-2.5827196,6.965353,2.6713095,7.3183436,-4.7518315,7.2374873,123.046875,1769.14368893333,967.674576662378,0.08240704,0.039143655,0.065930635,0.026066909,0.395362692231459,"SNES Koopa Beach (Night) (Super Mario Kart) - Mario Kart World (OST).wav","","2"
-118.343506,63.880154,88.111916,22.331146,-7.2999964,16.85429,37.63665,10.62707,9.692264,9.056531,10.907967,8.067291,5.017419,7.429104,6.184243,7.822092,-2.3754296,7.410166,4.9778438,7.513578,-2.9263377,8.291972,1.5555868,7.251173,2.5164678,7.581344,135.99917763,2303.17685341596,507.113044141664,0.10113801,0.029656582,0.07715433,0.03769773,0.488595256854339,"Wild Glide Galaxy (Super Mario Galaxy 2) - Mario Kart World (OST).wav","","1"
-121.13907,60.253147,79.07382,20.51794,-4.6794353,15.495115,34.614376,11.7410345,10.032817,9.419601,15.606102,9.539801,-1.9483461,9.440924,9.986833,9.167723,0.10570104,9.05006,6.0524583,9.159573,2.9208887,10.215097,2.4924572,9.315126,-1.5167146,8.478156,89.10290948,2463.03793759801,527.110242110085,0.09705941,0.036526166,0.05825941,0.051901087,0.890846599364806,"Mini-Boss BGM (Super Mario World 2： Yoshi's Island) (Day) - Mario Kart World (OST).wav","Day","3"
-100.16623,40.969543,84.99712,17.87731,-18.880646,13.990291,43.331024,10.457169,5.6973495,7.793296,13.498156,8.114555,-0.9199614,6.62643,9.308493,7.502027,1.9350266,6.977313,7.419526,7.807736,0.39204395,6.8560867,6.2620215,6.9267793,-0.92437375,6.920045,89.10290948,2369.09777703788,398.938604462479,0.09302188,0.0182376,0.06349855,0.04012586,0.631907821278186,"Title Theme (Mario Kart Live： Home Circuit) - Mario Kart World (OST).wav","","5"
-21.777727,67.24615,80.18427,24.363285,-3.232856,17.815092,34.775837,10.885872,5.5184197,9.383231,12.854705,9.279287,-2.1084945,8.285316,9.591675,7.2158766,-1.618773,6.8972406,3.1412268,7.1210256,-3.9525726,6.8651543,1.6124182,7.2607856,-6.261922,6.859871,129.19921875,2528.36518994563,583.756340723378,0.22845012,0.070380434,0.15956466,0.09366539,0.587002189531698,"Tour Vancouver Velocity (Mario Kart Tour) - Mario Kart World (OST).wav","","3"
-180.63713,88.100914,96.93985,27.99391,-16.18187,18.284952,28.699907,14.713438,0.555076,9.252231,7.1004434,8.28974,-1.8720003,7.738694,5.486087,6.949014,3.0863922,7.134873,5.5690174,6.9802523,-0.99010473,6.5904503,3.4752207,7.126792,-1.6980337,6.848495,135.99917763,2205.70774353863,538.337702388576,0.051859826,0.020016491,0.03318463,0.024555642,0.739948072307901,"Wii Luigi Circuit⧸Mario Circuit (Mario Kart Wii) - Mario Kart World OST.wav","","2"
-129.6411,64.54598,103.49791,21.795609,-0.6418757,16.763662,28.451513,11.086772,5.7409067,7.24157,13.151404,7.204021,1.1117332,6.770779,8.255504,5.9643044,0.61939806,6.045789,5.429893,6.122262,-0.9540166,6.283305,1.6952001,6.139096,-2.8709583,6.096159,135.99917763,2012.46534919897,507.515048634839,0.09613839,0.023495294,0.0722689,0.033212993,0.459568808008473,"3DS DK Jungle (Mario Kart 7) - Mario Kart World (OST).wav","","1"
-224.8175,63.771355,89.74495,26.523659,7.525342,18.998943,18.97607,13.834037,14.142441,11.608163,9.203189,11.337576,-1.8040742,10.185243,4.224211,10.471306,-8.413564,10.495435,-1.3553278,10.335333,-7.580583,9.315145,-3.1443238,10.972371,-3.668345,12.450943,129.19921875,2243.69116251855,687.774373701277,0.057853594,0.026141947,0.047435533,0.017974732,0.378921713080021,"Underwater Theme (Super Mario 3D Land) - Mario Kart World (OST).wav","","4"
-116.24338,85.01047,62.937305,34.754555,-7.593284,20.336128,24.652876,15.963337,6.4785247,11.3863325,9.086603,10.274735,1.4798228,9.467172,5.069643,8.557043,-2.5550387,8.375722,2.8051102,7.6750283,-0.9910438,8.203813,3.199356,7.65153,-0.20122287,7.293853,103.359375,2974.81704136472,943.34924111268,0.09365701,0.041508395,0.060821407,0.044346888,0.729120897029375,"GCN Luigi⧸Mario⧸Yoshi Circuit (Mario Kart： Double Dash!!) - Mario Kart World (OST).wav","","2"
-57.274513,30.345884,60.693806,15.993662,-9.309377,12.670946,40.446747,9.74354,5.5941916,6.545463,16.59025,5.581141,2.6104338,5.6224017,11.983064,5.098559,8.236783,6.10407,10.563293,6.1053715,3.7685993,7.0418787,7.1625376,6.1012425,-3.0252628,5.9061227,172.265625,2940.66765816041,406.276599541724,0.12526222,0.019183679,0.095066026,0.04311506,0.453522768694465,"GBA Bowser's Castle (Mario Kart： Super Circuit) - Mario Kart World (OST).wav","","5"
-178.34401,66.08707,83.74324,22.199799,-9.330988,17.081873,37.06219,11.063767,4.7004876,9.437327,15.379148,8.877914,6.7532053,7.657931,13.194929,6.9148874,-0.7413161,7.8069406,8.59391,6.461242,1.0115165,8.265117,6.634606,8.075565,0.6860578,8.076035,117.45383523,2322.14991130368,529.483823588195,0.054463096,0.017493745,0.035620745,0.025292058,0.710017360218114,"Overworld BGM (New Super Mario Bros.) - Mario Kart World (OST).wav","","2"
-134.3088,79.70209,118.56224,36.989017,12.627742,20.018337,16.629192,16.353973,8.252533,10.855755,13.803826,9.149444,-1.2858399,9.003367,6.888065,8.166479,-2.463828,8.523704,6.1529446,7.7999945,-0.071866676,7.6198797,4.727445,7.290756,-1.2258422,7.92243,172.265625,1717.4929773108,783.485752353305,0.1466354,0.05220011,0.10972127,0.05272996,0.480576632263674,"DS Shroom Ridge (Mario Kart DS) - Mario Kart World (OST).wav","","2"
-127.40367,47.073444,99.72616,23.3564,-1.3515085,16.960287,41.41915,12.825384,6.496331,8.173584,13.609595,8.448942,-1.0610435,6.993945,5.3859715,6.4091854,-1.2370337,6.4547334,4.2119937,7.1001086,1.1735371,6.2285137,8.923317,6.749698,-1.0466759,6.3950615,172.265625,2069.98204781712,534.194616858501,0.09363552,0.01874614,0.06735364,0.039293453,0.583381502283251,"N64 Koopa Troopa Beach (Day) (Mario Kart 64) - Mario Kart World (OST).wav","Day","1"
-82.901306,54.217022,81.231026,19.845388,-10.616261,16.09532,39.766502,13.592118,5.502756,9.255993,16.96653,8.023306,4.6648016,8.370354,8.877248,7.281637,3.1960082,7.279467,7.9361,6.223863,-1.3914056,6.7421684,3.06067,7.30105,-2.3892438,6.595734,135.99917763,2412.20389306939,490.34442399931,0.121195465,0.028611327,0.07775126,0.056664497,0.728782664225784,"3DS Piranha Plant Slide (Mario Kart 7) - Mario Kart World (OST).wav","","3"
-221.03389,85.0969,148.72522,37.070942,12.459464,21.690777,9.941066,11.58846,3.3948612,10.570144,-6.2026515,10.690413,-9.536196,9.112661,-5.933529,9.494377,-6.835833,9.337291,2.5830774,9.181442,-1.779827,10.988026,-5.7055626,10.698474,-3.8286595,10.636337,80.74951172,1236.54221217968,509.480237294011,0.11384947,0.058525164,0.10399215,0.01998413,0.192167753006128,"Opening Melody (Super Mario World 2： Yoshi's Island) - Mario Kart World (OST).wav","","4"
-119.14368,75.97922,92.30598,23.20325,-19.984749,19.641006,43.692604,11.222174,16.806473,8.322945,10.096496,8.943518,5.928473,9.724496,11.517861,9.161287,-3.1704817,8.599632,9.581594,7.679621,-5.8528886,6.879837,-0.9810993,6.949488,-0.11702656,6.331329,135.99917763,2118.54278248835,546.613566018646,0.11539041,0.046486128,0.064341865,0.064407304,1.00100148554004,"Rice Beach (Wario Land： Super Mario Land 3) - Mario Kart World (OST).wav","","2"
-217.42432,62.40104,69.740845,22.611422,1.9907442,14.17756,41.216763,10.743116,2.1850865,7.052422,11.615751,7.2822433,-0.78282356,5.9290032,9.412381,6.365623,0.6707082,6.5982394,3.1745582,6.6078377,-2.7586486,6.262254,0.6148705,6.3262625,-1.3704973,5.990691,151.99908088,2767.27197674193,609.23128809744,0.02882975,0.0087265,0.01827343,0.013955854,0.76368203666923,"Ground BGM (Super Mario World) - Mario Kart World (OST).wav","","1"
